ID_ATIV_ECON_ESTABELECIMENTO;LATITUDE;LONGITUDE
17535;-199.795.508;-440.279.461
17893;-199.295.083;-439.473.777
17557;-198.279.214;-439.629.688
18219;-199.786.436;-440.485.452
18227;-198.741.165;-439.883.188
18374;-199.106.279;-439.572.131
17586;-199.390.626;-440.233.368
18253;-199.637.996;-43.949.628
17627;-19.925.814;-439.404.836
17305;-199.225.815;-439.430.243
17658;-199.378.835;-439.446.586
17990;-199.295.217;-439.659.775
17999;-198.192.323;-439.519.494
16478;-198.529.476;-439.599.784
16820;-199.085.096;-439.240.903
16827;-198.438.703;-439.214.687
16130;-199.225.815;-439.430.243
17182;-199.257.052;-439.223.823
17183;-199.319.508;-439.209.454
16161;-199.158.524;-439.105.711
16163;-199.387.593;-439.395.336
16183;-199.253.573;-439.486.157
16186;-199.016.406;-440.239.021
17293;-199.758.686;-440.173.857
16930;-19.921.128;-439.239.648
16934;-199.220.057;-439.400.589
16242;-199.740.672;-440.212.982
17271;-199.250.301;-4.393.764
16298;-199.356.453;-439.284.123
17042;-199.067.703;-439.442.086
17044;-199.273.375;-439.868.954
17045;-199.209.965;-439.761.991
17046;-198.966.437;-439.126.656
16010;-199.057.636;-439.455.982
16024;-199.765.872;-439.773.697
16737;-199.314.287;-439.399.339
16742;-199.378.158;-439.368.155
16744;-199.289.066;-439.549.839
17085;-199.586.297;-439.500.656
17089;-199.202.994;-439.465.816
16417;-199.158.595;-439.344.473
16078;-199.185.571;-439.378.025
20009;-199.142.953;-439.886.957
20371;-199.018.775;-439.827.862
20686;-199.226.105;-43.940.276
20687;-198.817.337;-439.774.541
21082;-199.358.377;-439.396.468
20049;-199.264.005;-439.518.031
20052;-199.314.906;-439.441.206
20053;-199.741.447;-439.354.604
20055;-199.314.906;-439.441.206
20089;-198.885.616;-439.329.863
20431;-199.237.726;-439.067.129
21108;-199.407.141;-439.342.101
21124;-199.565.487;-439.576.764
20147;-199.162.218;-439.142.033
20480;-199.073.082;-439.336.173
20497;-199.182.295;-439.397.663
21242;-199.425.929;-439.424.838
20172;-199.547.913;-439.595.811
21132;-198.903.695;-439.282.191
20202;-199.295.524;-440.003.203
20555;-199.150.666;-439.421.408
21012;-199.291.465;-439.243.387
20245;-199.310.087;-439.556.946
19967;-199.093.894;-438.972.664
20634;-199.473.302;-439.544.083
20334;-199.254.786;-439.500.059
19164;-199.820.245;-439.777.458
19483;-199.255.879;-439.238.805
19824;-199.291.876;-439.295.187
19837;-19.945.113;-43.917.706
18867;-199.363.019;-439.239.093
19901;-199.085.363;-44.002.571
19905;-199.672.335;-439.635.733
19906;-199.590.499;-439.682.657
19251;-199.740.672;-440.212.982
19946;-199.659.397;-439.803.299
18905;-199.291.465;-439.243.387
18911;-199.182.295;-439.397.663
19271;-199.352.663;-439.567.921
19589;-199.456.523;-439.295.759
19893;-19.905.749;-43.971.639
19896;-198.753.332;-439.189.153
19919;-199.388.489;-439.752.421
19632;-199.346.199;-439.339.697
18621;-198.866.059;-439.067.802
18984;-199.215.193;-43.924.042
19677;-199.680.402;-439.655.163
19367;-199.389.948;-439.199.694
19705;-199.407.141;-439.342.101
18695;-199.121.894;-439.035.359
19031;-198.796.534;-43.913.272
19716;-198.073.087;-439.615.775
19738;-199.512.067;-439.875.067
19762;-199.246.318;-43.953.411
18745;-199.162.429;-439.278.764
19774;-199.407.141;-439.342.101
19776;-199.281.198;-439.473.471
19793;-199.407.141;-439.342.101
22668;-19.886.146;-439.358.775
23000;-199.349.038;-439.528.627
23013;-198.640.334;-439.330.133
23313;-198.889.418;-439.693.112
23722;-199.186.355;-439.405.757
23335;-199.165.511;-43.934.451
23734;-199.064.654;-439.177.325
22744;-198.460.286;-439.765.992
23071;-199.407.141;-439.342.101
23080;-198.634.011;-439.441.692
23852;-199.216.978;-439.386.879
23448;-19.900.089;-439.681.819
23159;-199.194.337;-439.511.013
23161;-199.238.298;-439.505.076
23179;-198.334.652;-439.578.483
23482;-199.719.445;-43.975.775
22868;-199.216.978;-439.386.879
23658;-199.248.849;-439.471.081
23527;-200.089.022;-440.345.106
23229;-199.906.391;-440.002.149
23260;-198.867.824;-438.966.672
23261;-199.280.609;-439.577.127
22625;-199.469.413;-439.552.445
22949;-199.373.581;-439.342.466
22116;-199.293.182;-439.449.302
22435;-198.025.842;-439.708.571
21796;-199.338.816;-4.393.445
22180;-199.253.513;-439.260.105
22501;-198.848.493;-440.070.129
21532;-199.280.206;-439.236.003
22207;-199.470.309;-43.950.314
22224;-199.942.491;-440.105.506
22603;-199.197.522;-439.366.953
21536;-199.254.503;-439.195.955
22228;-199.754.238;-439.479.098
22230;-197.895.562;-439.489.219
22239;-199.245.986;-43.927.008
22522;-199.945.782;-440.464.278
21562;-199.243.836;-439.445.038
22262;-199.293.182;-439.449.302
21951;-19.935.821;-439.177.962
22284;-198.902.883;-439.678.891
21962;-198.287.634;-439.606.177
21283;-199.763.249;-439.717.068
21307;-199.025.482;-439.694.262
21310;-198.717.156;-43.952.051
21653;-199.113.801;-439.216.519
22022;-199.438.567;-439.328.698
22023;-199.398.984;-439.318.961
22031;-198.756.815;-439.827.431
22363;-19.940.924;-439.171.593
21351;-199.184.312;-43.953.584
21391;-19.924.622;-43.937.362
21414;-199.158.595;-439.344.473
26227;-199.429.289;-439.263.302
25271;-198.992.347;-439.448.638
25590;-199.215.955;-439.503.073
25910;-200.030.121;-440.355.999
25914;-199.368.606;-439.378.991
26253;-198.464.555;-439.792.279
25926;-199.511.376;-439.816.771
25956;-198.589.743;-439.989.138
26345;-19.896.546;-439.472.948
25318;-199.571.651;-439.659.182
25327;-199.196.242;-439.595.079
25997;-198.930.874;-439.695.709
26000;-199.469.379;-439.488.773
26469;-19.919.299;-439.565.578
25363;-199.396.065;-439.444.739
25378;-199.072.535;-439.599.379
26005;-199.449.076;-439.782.178
26009;-199.277.932;-439.649.427
26373;-198.997.465;-439.020.946
25397;-199.124.014;-439.241.504
25417;-199.629.408;-439.562.696
25735;-19.942.919;-440.147.731
26495;-199.373.995;-439.396.604
25439;-199.276.333;-439.280.034
25765;-199.067.324;-439.220.931
26073;-199.421.603;-43.964.693
26457;-199.346.138;-439.293.347
25482;-198.930.634;-438.961.762
26268;-199.236.715;-439.107.488
26297;-199.117.851;-439.023.619
25528;-19.911.051;-439.131.594
25547;-199.343.235;-439.719.949
25224;-19.938.076;-440.042.682
25557;-198.683.826;-440.004.485
25566;-199.367.933;-439.371.305
25567;-199.338.816;-4.393.445
25894;-199.183.016;-439.608.778
25244;-199.276.663;-439.907.038
25245;-198.743.441;-439.261.621
25578;-19.926.466;-43.958.381
25589;-199.276.333;-439.280.034
25047;-199.031.849;-439.301.587
24739;-199.213.665;-43.937.866
24744;-199.182.726;-439.340.936
25077;-199.473.847;-439.221.665
25103;-198.396.507;-439.312.369
24099;-199.201.706;-439.973.468
24463;-199.364.854;-439.661.733
24464;-199.740.059;-440.152.495
24799;-199.261.022;-439.183.799
25148;-198.151.401;-439.739.755
24524;-199.469.112;-43.921.493
25129;-199.836.449;-44.000.363
24525;-199.021.258;-43.931.761
24202;-199.157.411;-439.417.613
24548;-199.259.792;-439.625.819
24550;-199.337.118;-439.718.101
23918;-199.825.345;-440.313.563
24250;-199.520.207;-439.224.073
24592;-198.818.729;-439.350.099
23931;-199.267.616;-439.618.748
24268;-199.233.531;-43.939.773
24623;-198.900.183;-440.009.465
24946;-199.483.253;-439.206.846
24950;-199.150.976;-439.779.104
24630;-198.402.628;-439.158.368
23971;-199.412.233;-439.702.171
23978;-198.709.219;-440.145.578
24674;-199.275.431;-439.527.957
24681;-199.409.654;-439.355.502
24714;-19.969.302;-439.622.804
24361;-198.939.738;-43.998.234
24373;-199.387.179;-439.412.853
28835;-199.470.184;-439.420.964
27936;-199.084.211;-438.921.179
28588;-199.051.088;-439.320.524
27980;-199.182.295;-439.397.663
28662;-199.269.037;-439.523.924
28663;-199.093.894;-438.972.664
28387;-198.912.133;-439.724.145
28999;-199.243.129;-439.191.181
29005;-199.289.261;-439.433.856
